"#","Client_time","Server_time","Event","Village","Spins","Coins","Gems","Pet xp","Pet Food","all_time_spins","device_id","app_version","fb_id","profile","total_xp","Event_id","Activation_segment","Configuration_segment","Multiplier_segment","Current_mission_index","Action_name","Required_amount","Current_amount","Received_amount","Bet_multiplier","Accumulation_event_id","Accumulation_bonus_event_id","Result","Original_amount","Result_amount","Missions_total","Special_event_config_id_1","Special_event_config_id_2","Special_event_config_id_3","Current_mission_reward_reward_0_type","Current_mission_reward_reward_0_amount","Bucket_name","Next_mission_index","Current_mission_overflow","Next_mission_required_amount","Next_mission_rewards_reward_0_type","Next_mission_rewards_reward_0_amount","Spin_result_symbols","Spin_result","Bet Options","Current Bet Option","Auto_spin","Active_special_event_1","Active_special_event_2","Active_special_event_3","Active_special_event_4","Active_special_event_5","Active_special_event_6","Active_special_event_7","Active_special_event_8","Active_special_event_9","Active_special_event_10","Written_by","Config_sub_type","User_segment","Total_received_amount","Rest_of_accumulative_rewards","Final_mission_index","Collection_id","Event_type","Name","Action","Reason","Type","Sub_type","Accumulated_rewards","Reward_0_type","Reward_0_amount","Reward_1_type","Reward_1_amount","Reward_2_type","Reward_2_amount","Reward_3_type","Reward_3_amount","Card_category","Gr_ranges","Container_id","Amount","Reward","Max_bet","Min_bet","Result_type","Mission_current","Mission_progress","Attacked Person","Mission","Bet","Is_auto_spin","Event_spin_result_left","Event_spin_result_middle","Event_spin_result_right","Mission_completed","Source","Card_id","Season_id","Chest_type","Card_1_id","Card_2_id","Card_3_id","Card_4_id","Card_5_id","Card_6_id","Card_7_id","Card_8_id","Card_9_id","Card_name","Is_new","Product_id","Description","Bucket_id","Status","Required_accumulative_amount","Collected","Timer","Time_left","Starts_at","Ends_at","Booster_event_start","Booster_event_end","Visible_offer_number_1","Visible_offer_number_2","Visible_offer_number_3","Visible_offer_number_4","Visible_offer_number_5","Visible_offer_number_6","Reason_of_change","Amount_total","Duration","Os","Date_Installed","Manufacturer","Model","Social_provider_name","Os_version","Fingerprint","Country_code","Session_lengh","Resume_time","First_login","Target_profile_group","Msg","Popup_name","Code"
"1","2022-09-04T02:26:33.349Z","2022-09-04T02:26:33.349Z","user_raided","361","75381","47528878852781","0","","","575230","","","","3_5_fband_PGold","205423","","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","","","","","","","","","","","GameServer","","","","","","","","","","","","","","","","","","","","","","","","","138620000","","","","","","","rof42__ck6s0ky89002nplligeomfm6k","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US","","","","","","",""
"2","2022-09-04T03:24:12.620Z","2022-09-04T03:24:12.620Z","user_raided","361","75381","47528600932781","0","","","575230","","","","3_5_fband_PGold","205423","","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","","","","","","","","","","","GameServer","","","","","","","","","","","","","","","","","","","","","","","","","277920000","","","","","","","bot","","2500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US","","","","","","",""
"3","2022-09-04T05:26:59.147Z","2022-09-04T05:27:05.869Z","app_loaded","","","","","","","","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","","3_5_fband_PGold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","","12","6dfcDG+oXV4SABQXG+14CuEZgMU=
","ES","","","","","","",""
"4","2022-09-04T05:26:59.785Z","2022-09-04T05:27:09.474Z","loading_started","","","","","","","","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","","3_5_fband_PGold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","","12","","ES","","","","","","",""
"5","2022-09-04T05:27:04.125Z","2022-09-04T05:27:09.475Z","finish_login","361","75381","47528600932781","","4045000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","","","","",""
"6","2022-09-04T05:27:04.127Z","2022-09-04T05:27:09.475Z","fb_login_complete","361","75381","47528600932781","","4045000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","","","","","","","","","","","","","success","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","none","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","false","","","",""
"7","2022-09-04T05:27:04.873Z","2022-09-04T05:27:10.055Z","loading_finished","361","75381","47528600932781","","4045000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.92","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","","","REASON_USER_REQUESTED","",""
"8","2022-09-04T05:27:05.993Z","2022-09-04T05:27:05.993Z","special_event_pending","361","75381","47528600932781","0","","","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","205423","tournament_center_2022-09-04T03:00:00.000Z_62fbb55aaad19b253702bdfd_UUID1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GameServer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US","","","","","","",""
"9","2022-09-04T05:27:05.993Z","2022-09-04T05:27:05.993Z","special_event_activated","361","75381","47528600932781","0","","","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","205423","mission_milestones_2022-09-04T03:00:00.000Z_62fbb55aaad19b253702bdfd_UUID1","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","","","","","","","","","","","GameServer","","","","","","","mission_milestones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-09-04 03:05:00.000 UTC","2022-09-04 09:03:00.000 UTC","","","","","","","","","","","","","","","","","","","US","","","","","","",""
"10","2022-09-04T05:27:06.023Z","2022-09-04T05:27:06.023Z","event_task_points_accumulation","","","","","","","","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","0","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tasks","","ach_test_segvip","","","","","achievement_event","","","","","","","spins","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ach_test_segvip_2_4","task_rank_10_tournament","2","","3","","","","","","","","","","","","","","","","","Android","","","","","","","US","","","","","","",""
"11","2022-09-04T05:27:06.023Z","2022-09-04T05:27:06.023Z","event_mission_completed","","","","","","","","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tasks","","ach_test_segvip","","","","","achievement_event","","","","","","","spins","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ach_test_segvip_2_4","task_rank_10_tournament","2","claimable","3","","","","","","","","","","","","","","","","","Android","","","","","","","US","","","","","","",""
